id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw,actual_points
1,Raya,1,5.0,6.0,5.0,1,a,100.0,38.9,4.7,46.2,0.0,0.0,0.0,0.01,0.01,270,60,3,3.0,1,4,14
2,Arrizabalaga,1,0.0,4.9,0.0,1,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
3,Meslier,1,0.0,4.9,0.0,1,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
4,Gabriel,2,5.0,8.0,5.0,1,a,100.0,24.7,13.8,48.4,7.4,83.0,0.49,0.05,0.54,270,54,2,3.0,1,4,9
5,J.Timber,2,0.0,6.5,0.0,1,d,25.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,1
6,Saliba,2,0.0,5.9,0.0,1,i,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
7,Lewis-Skelly,3,2.7,5.5,2.7,1,a,100.0,0.7,7.0,21.6,38.8,16.0,0.16,0.23,0.39,226,35,2,3.0,1,4,1
8,Calafiori,2,7.3,5.7,7.3,1,a,100.0,47.8,11.8,51.6,27.3,39.0,0.54,0.58,1.12,236,61,2,3.0,1,4,6
9,Hincapie,2,0.7,5.3,1.0,1,a,100.0,1.1,1.0,6.4,1.0,2.0,0.0,0.0,0.0,32,6,1,3.0,1,4,0
10,White,2,6.7,5.5,6.7,1,a,100.0,7.6,14.1,65.4,52.2,23.0,0.18,0.29,0.47,270,74,2,3.0,1,4,1
11,Mosquera,2,4.0,5.4,6.0,1,d,75.0,3.4,2.7,24.6,2.0,0.0,0.0,0.01,0.01,168,52,0,3.0,1,4,0
12,Saka,3,7.3,9.5,7.3,1,a,100.0,11.4,30.3,94.4,61.9,147.0,1.5,0.35,1.85,246,95,2,3.0,1,4,8
13,Rice,3,4.3,7.4,4.3,1,a,100.0,13.6,12.3,64.6,53.9,4.0,0.1,0.26,0.36,241,51,5,3.0,1,4,6
14,Eze,3,0.7,6.4,1.0,1,a,100.0,1.3,0.7,1.6,3.8,3.0,0.04,0.07,0.11,59,10,0,3.0,1,4,1
15,Ødegaard,3,8.0,6.6,8.0,1,a,100.0,13.8,27.1,102.4,102.5,66.0,1.01,1.05,2.06,221,101,10,3.0,1,4,3
16,Madueke,3,0.7,6.3,1.0,1,a,100.0,0.2,5.6,11.6,43.9,0.0,0.0,0.05,0.05,23,11,1,3.0,1,4,0
17,Merino,3,0.7,5.9,0.7,1,a,100.0,0.5,2.4,6.4,3.3,14.0,0.14,0.02,0.16,46,12,0,3.0,1,4,1
18,Martinelli,3,0.0,6.3,0.0,1,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
19,Zubimendi,3,1.0,5.4,1.0,1,a,100.0,0.7,2.5,10.0,4.0,11.0,0.08,0.04,0.12,50,9,1,3.0,1,4,1
20,Dowman,3,0.0,5.3,0.0,1,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
22,Nwaneri,3,0.0,5.4,0.0,1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
23,Fábio Vieira,3,0.0,5.5,0.0,1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
24,Nelson,3,0.0,5.5,0.0,1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
25,Gyökeres,4,0.3,7.3,1.0,1,a,100.0,4.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,12,2,1,3.0,1,4,0
26,Havertz,4,5.3,7.5,5.3,1,a,100.0,7.6,24.1,82.6,53.6,105.0,0.55,0.33,0.88,257,77,8,3.0,1,4,1
27,G.Jesus,4,0.0,5.9,0.0,1,u,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
31,Konsa,2,1.7,4.4,2.5,1,a,100.0,13.5,2.8,22.6,1.5,4.0,0.0,0.01,0.01,101,18,4,3.0,1,4,6
452,Bruno G.,3,0.3,6.8,1.0,1,a,100.0,1.8,0.4,1.4,0.8,2.0,0.0,0.01,0.01,19,4,0,3.0,1,4,7
557,Tzolis,3,3.7,6.4,3.7,1,a,100.0,17.3,18.8,47.6,101.6,38.0,0.19,0.35,0.54,210,62,5,3.0,1,4,3
29,M.Bizot,1,0.3,4.5,1.0,2,a,100.0,0.1,2.8,28.2,0.0,0.0,0.0,0.0,0.0,90,1,0,3.0,1,4,0
