id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw
1,Raya,1,7.2,6.0,7.2,1,a,100.0,41.1,8.5,84.0,0.2,0.0,0.0,0.01,0.01,360,98,14,3.0,1,5
2,Arrizabalaga,1,0.0,4.9,0.0,1,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
3,Meslier,1,0.0,4.9,0.0,1,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
4,Gabriel,2,6.0,8.0,6.0,1,a,100.0,23.2,16.1,69.0,8.9,84.0,0.51,0.06,0.57,360,84,9,3.0,1,5
5,J.Timber,2,0.2,6.5,1.0,1,a,100.0,0.3,0.8,6.0,1.9,0.0,0.0,0.01,0.01,45,3,1,3.0,1,5
6,Saliba,2,0.0,5.9,0.0,1,i,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
7,Lewis-Skelly,3,2.2,5.5,2.2,1,a,100.0,0.6,7.0,21.6,40.2,16.0,0.16,0.23,0.39,271,37,1,3.0,1,5
8,Calafiori,2,7.0,5.8,7.0,1,a,100.0,50.2,13.6,60.4,29.0,46.0,0.6,0.59,1.19,326,79,6,3.0,1,5
9,Hincapie,2,0.5,5.3,1.0,1,a,100.0,0.9,1.0,6.4,1.0,2.0,0.0,0.0,0.0,32,6,0,3.0,1,5
10,White,2,5.2,5.5,5.2,1,a,100.0,5.7,15.2,69.6,53.0,29.0,0.18,0.29,0.47,315,78,1,3.0,1,5
11,Mosquera,2,3.0,5.3,6.0,1,a,100.0,1.8,2.7,24.6,2.0,0.0,0.0,0.01,0.01,168,52,0,3.0,1,5
12,Saka,3,7.5,9.5,7.5,1,a,100.0,12.9,42.2,139.8,78.8,204.0,2.88,0.43,3.31,336,123,8,3.0,1,5
13,Rice,3,4.8,7.4,4.8,1,a,100.0,12.5,20.4,109.6,90.3,4.0,0.1,0.63,0.73,321,78,6,3.0,1,5
14,Eze,3,0.8,6.3,1.0,1,a,100.0,1.1,0.9,1.8,3.8,5.0,0.04,0.07,0.11,68,13,1,3.0,1,5
15,Ødegaard,3,6.8,6.8,6.8,1,a,100.0,19.8,35.1,121.8,160.7,68.0,1.01,1.3,2.31,305,127,3,3.0,1,5
16,Madueke,3,0.5,6.2,1.0,1,a,100.0,0.2,5.6,11.6,43.9,0.0,0.0,0.05,0.05,23,11,0,3.0,1,5
17,Merino,3,0.8,5.8,0.8,1,a,100.0,0.4,2.4,6.6,3.4,14.0,0.14,0.02,0.16,51,15,1,3.0,1,5
18,Martinelli,3,0.0,6.3,0.0,1,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
19,Zubimendi,3,1.0,5.3,1.0,1,a,100.0,0.6,2.9,13.4,4.2,11.0,0.08,0.04,0.12,59,14,1,3.0,1,5
20,Dowman,3,0.0,5.3,0.0,1,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
22,Nwaneri,3,0.0,5.4,0.0,1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
23,Fábio Vieira,3,0.0,5.5,0.0,1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
24,Nelson,3,0.0,5.5,0.0,1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
25,Gyökeres,4,0.2,7.2,1.0,1,a,100.0,3.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,12,2,0,3.0,1,5
26,Havertz,4,4.2,7.6,4.2,1,a,100.0,8.2,28.7,84.2,66.0,137.0,0.89,0.35,1.24,347,77,1,3.0,1,5
27,G.Jesus,4,0.0,5.9,0.0,1,u,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
31,Konsa,2,2.8,4.5,3.7,1,a,100.0,18.6,4.0,34.4,1.7,4.0,0.0,0.01,0.01,191,34,6,3.0,1,5
452,Bruno G.,3,2.0,6.7,4.0,1,a,100.0,1.8,5.4,36.8,4.7,13.0,0.09,0.15,0.24,64,33,7,3.0,1,5
557,Tzolis,3,3.5,6.4,3.5,1,a,100.0,13.8,20.1,51.4,108.9,40.0,0.19,0.48,0.67,290,72,3,3.0,1,5
29,M.Bizot,1,0.2,4.5,1.0,2,d,75.0,0.1,2.8,28.2,0.0,0.0,0.0,0.0,0.0,90,1,0,3.0,1,5
30,Digne,2,0.0,4.5,0.0,2,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
32,Cash,2,1.8,4.4,2.3,2,a,100.0,5.1,6.5,32.4,19.2,13.0,0.15,0.04,0.19,251,23,0,3.0,1,5
33,Mings,2,1.8,4.5,2.3,2,a,100.0,0.4,5.4,32.4,5.0,17.0,0.2,0.02,0.22,171,33,0,3.0,1,5
34,Pau,2,0.8,4.5,1.0,2,d,75.0,0.3,1.5,11.2,1.9,2.0,0.0,0.01,0.01,187,-4,1,3.0,1,5
35,Bogarde,3,0.2,5.0,1.0,2,a,100.0,0.1,0.3,2.2,0.5,0.0,0.0,0.0,0.0,16,3,0,3.0,1,5
36,Maatsen,2,2.2,4.5,2.2,2,d,25.0,0.6,10.2,34.8,24.5,43.0,0.28,0.45,0.73,335,22,1,3.0,1,5
37,Lindelöf,2,1.8,4.5,1.8,2,a,100.0,0.3,12.0,55.6,27.3,37.0,0.44,0.17,0.61,360,27,1,3.0,1,5
38,A.García,2,0.0,4.0,0.0,2,a,100.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
39,Nedeljkovic,2,0.0,4.0,0.0,2,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
41,Buendía,3,2.2,5.9,2.2,2,a,100.0,0.9,6.4,5.0,44.2,24.0,0.78,0.17,0.95,311,23,2,3.0,1,5
44,Bailey,3,0.0,5.4,0.0,2,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
45,McGinn,3,2.8,5.4,2.8,2,a,100.0,2.2,9.1,29.4,51.4,15.0,0.77,0.2,0.97,351,46,6,3.0,1,5
46,Barkley,3,2.2,5.0,2.2,2,a,100.0,0.3,15.5,41.8,81.5,31.0,0.38,0.14,0.52,302,63,2,3.0,1,5
47,Kamara,3,2.2,5.0,2.2,2,a,100.0,0.3,10.5,47.0,55.6,2.0,0.0,0.15,0.15,360,59,2,3.0,1,5
48,Onana,3,0.0,4.9,0.0,2,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
49,Iling Jr,3,0.0,5.0,0.0,2,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
50,Burrowes,3,0.0,4.5,0.0,2,a,100.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
51,George Hemmings,3,2.0,4.5,2.0,2,a,100.0,1.3,9.1,25.2,40.9,25.0,0.07,0.16,0.23,279,32,1,3.0,1,5
52,Alysson,3,2.0,5.0,2.0,2,a,100.0,0.1,7.0,39.8,4.9,25.0,0.06,0.0,0.06,87,34,6,3.0,1,5
53,Manzambi,3,0.2,5.9,1.0,2,a,100.0,0.1,0.7,2.6,4.0,0.0,0.0,0.08,0.08,27,3,1,3.0,1,5
54,Gomes,3,-0.5,5.5,-2.0,2,d,75.0,0.0,1.2,1.0,11.0,0.0,0.0,0.01,0.01,39,-2,0,3.0,1,5
55,Watkins,4,0.0,7.8,0.0,2,u,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
56,Abraham,4,0.8,5.5,1.0,2,a,100.0,0.2,0.9,3.2,3.8,2.0,0.0,0.0,0.0,69,10,1,3.0,1,5
160,Garnacho,3,0.8,5.8,1.0,2,a,100.0,0.3,0.5,1.2,3.6,0.0,0.0,0.0,0.0,31,9,0,3.0,1,5
166,N.Jackson,4,1.0,6.5,1.3,2,a,100.0,1.2,5.3,5.4,25.4,24.0,0.24,0.58,0.82,199,21,0,3.0,1,5
582,Madjo,4,0.0,5.4,0.0,2,i,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
596,Ruggeri,2,0.5,4.5,1.0,2,a,100.0,0.1,0.9,6.6,2.6,0.0,0.0,0.01,0.01,23,6,0,3.0,1,5
597,Suzuki,1,3.5,5.0,4.7,2,a,100.0,1.8,8.0,79.4,0.0,0.0,0.0,0.01,0.01,270,63,2,3.0,1,5
606,Rowe,2,0.0,4.0,0.0,2,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
607,Lynch,3,0.0,4.5,0.0,2,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
611,Wan-Bissaka,2,1.7,4.5,1.7,2,a,100.0,0.2,4.7,32.4,15.0,0.0,0.0,0.06,0.06,107,18,3,3.0,1,5
618,Goretzka,3,0.0,5.9,0.0,2,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
630,Harwood-Bellis,2,0.0,4.5,0.0,2,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
631,Mbaye,3,0.5,6.0,1.0,2,a,100.0,0.1,4.3,9.0,15.2,19.0,0.02,0.13,0.15,27,6,1,3.0,1,5
57,Petrović,1,1.8,4.5,1.8,3,a,100.0,3.0,7.4,74.0,0.0,0.0,0.0,0.0,0.0,360,33,1,4.0,1,5
58,Forster,1,0.0,4.0,0.0,3,a,100.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
59,Dennis,1,0.0,4.0,0.0,3,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
60,Hill,2,2.0,5.5,2.0,3,a,100.0,0.8,14.6,76.0,64.2,6.0,0.0,0.77,0.77,360,28,2,4.0,1,5
61,Truffert,2,2.0,5.5,2.0,3,a,100.0,3.1,18.6,92.0,58.7,34.0,0.09,0.23,0.32,360,47,3,4.0,1,5
62,Diakité,2,0.0,5.0,0.0,3,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
63,Milosavljević,2,0.0,4.9,0.0,3,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
64,Smith,2,0.5,4.5,0.5,3,a,100.0,0.1,9.1,43.6,43.6,4.0,0.01,0.07,0.08,360,11,0,4.0,1,5
65,J.Araujo,2,0.0,4.4,0.0,3,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
66,Soler,2,0.0,4.0,0.0,3,a,100.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
67,Rayan,3,2.0,6.4,2.0,3,a,100.0,1.6,14.7,22.0,33.5,91.0,0.87,0.08,0.95,347,28,2,4.0,1,5
68,Tavernier,3,7.2,6.1,7.2,3,a,100.0,6.1,42.1,151.0,127.0,143.0,1.7,0.81,2.51,350,139,8,4.0,1,5
69,Scott,3,7.0,6.1,7.0,3,a,100.0,5.8,24.3,94.6,105.9,43.0,0.52,0.35,0.87,356,112,4,4.0,1,5
70,Kluivert,3,3.8,6.0,3.8,3,a,100.0,1.0,22.5,62.2,46.5,120.0,0.99,0.08,1.07,294,64,8,4.0,1,5
71,Cook,3,1.8,5.0,1.8,3,a,100.0,0.2,2.5,9.0,15.5,0.0,0.0,0.01,0.01,165,22,0,4.0,1,5
72,Gannon-Doak,3,0.8,4.9,1.0,3,a,100.0,0.1,2.0,3.8,2.1,14.0,0.12,0.03,0.15,10,12,1,4.0,1,5
73,Adams,3,2.0,5.0,2.0,3,a,100.0,0.3,5.7,30.4,19.3,7.0,0.03,0.03,0.06,192,39,2,4.0,1,5
74,Brooks,3,0.5,5.0,0.7,3,a,100.0,0.1,0.8,4.2,1.9,2.0,0.0,0.01,0.01,30,4,0,4.0,1,5
75,Christie,3,0.8,5.0,1.0,3,a,100.0,0.0,2.8,9.4,14.7,4.0,0.0,0.12,0.12,28,15,1,4.0,1,5
76,Tóth.A,3,0.2,4.9,1.0,3,a,100.0,0.0,0.3,2.8,0.6,0.0,0.0,0.0,0.0,15,5,0,4.0,1,5
77,Adli,3,0.0,4.9,0.0,3,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
78,Kroupi.Jr,3,0.0,7.4,0.0,3,i,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
79,Evanilson,4,4.0,6.0,4.0,3,a,100.0,3.2,18.8,60.4,79.2,49.0,0.71,0.51,1.22,334,54,5,4.0,1,5
80,Enes Ünal,4,0.0,5.5,0.0,3,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
81,Rodríguez,4,0.5,6.0,1.0,3,a,100.0,0.1,0.1,0.0,0.5,0.0,0.0,0.0,0.0,10,7,1,4.0,1,5
566,Silva,2,2.5,5.0,2.5,3,a,100.0,0.4,14.1,91.8,8.6,41.0,0.85,0.27,1.12,360,22,3,4.0,1,5
573,Sanchez,2,0.0,4.4,0.0,3,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
608,Jebbison,4,0.5,5.0,1.0,3,a,100.0,0.1,2.1,3.4,0.8,17.0,0.1,0.0,0.1,16,10,0,4.0,1,5
615,Di Gregorio,1,0.0,4.5,0.0,3,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
82,Kelleher,1,3.5,5.0,3.5,4,a,100.0,6.1,10.1,101.6,0.0,0.0,0.0,0.01,0.01,360,70,3,4.0,1,5
83,Valdimarsson,1,0.0,4.5,0.0,4,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
