gw,id,web_name,element_type,team,now_cost,score,chance_of_playing_next_round,points_scored
1,199,Benitez,GKP,Crystal Palace,4.5,1.912931182772389,100.0,0.0
1,531,Ellborg,GKP,Sunderland,4.5,1.7435134012651283,100.0,0.0
1,4,Gabriel,DEF,Arsenal,8.0,1.866255578408624,100.0,5.0
1,388,Guéhi,DEF,Man City,6.0,1.7213006207263155,100.0,10.0
1,201,Muñoz,DEF,Crystal Palace,5.5,1.6750686836022342,100.0,0.0
1,498,Senesi,DEF,Spurs,6.0,1.6750686836022342,100.0,3.0
1,229,Tarkowski,DEF,Everton,6.0,1.6631034988407656,100.0,6.0
1,426,B.Fernandes,MID,Man Utd,12.0,1.885203631020986,100.0,2.0
1,452,Bruno G.,MID,Arsenal,7.0,1.7435134012651283,100.0,0.0
1,236,Dewsbury-Hall,MID,Everton,6.5,1.6984992522418103,100.0,11.0
1,260,Wilson,MID,Leeds,6.5,1.6750686836022342,100.0,3.0
1,335,Stach,MID,Leeds,6.0,1.6750686836022342,100.0,13.0
1,165,João Pedro,FWD,Chelsea,7.5,1.7213006207263155,100.0,11.0
1,106,Thiago,FWD,Brentford,8.0,1.6868653306034984,100.0,0.0
1,346,Calvert-Lewin,FWD,Leeds,6.0,1.6005206638831553,100.0,1.0
2,572,Tzolakis,GKP,Hull City,4.5,3.7257830926686566,100.0,10.0
2,385,Trafford,GKP,Leeds,5.0,3.11931430759323,100.0,3.0
2,586,Mendy,DEF,Hull City,4.0,5.117862503780023,100.0,1.0
2,115,De Cuyper,DEF,Brighton,4.6,4.4191076776147575,100.0,0.0
2,88,Kayode,DEF,Brentford,4.5,4.019235465379676,100.0,2.0
2,279,Ajayi,DEF,Hull City,4.0,3.66376199874611,75.0,6.0
2,332,Justin,DEF,Leeds,4.5,3.437435288231052,100.0,2.0
2,565,M.Sangaré,MID,Brentford,5.6,3.8535179371492942,100.0,4.0
2,123,Hinshelwood,MID,Brighton,6.0,3.85317543312308,100.0,0.0
2,335,Stach,MID,Leeds,6.0,3.6022602709649463,100.0,4.0
2,154,Palmer,MID,Chelsea,9.5,3.31895449355498,100.0,7.0
2,367,Gakpo,MID,Liverpool,7.0,3.2791718037174507,100.0,5.0
2,165,João Pedro,FWD,Chelsea,7.5,3.261070036309585,100.0,9.0
2,316,Emersonn,FWD,Ipswich Town,5.5,2.8982656412337224,100.0,1.0
2,249,Barry,FWD,Everton,5.5,2.8397822097303647,100.0,2.0
4,572,Tzolakis,GKP,Hull City,4.6,3.002362290119007,100.0,2.0
4,385,Trafford,GKP,Leeds,5.0,2.4170827278632445,100.0,3.0
4,330,Bogle,DEF,Leeds,4.5,3.086961748505177,100.0,15.0
4,279,Ajayi,DEF,Hull City,4.1,3.0368889739566765,100.0,1.0
4,643,Chilwell,DEF,Crystal Palace,4.5,3.0128750646181297,100.0,1.0
4,586,Mendy,DEF,Hull City,4.0,3.0,100.0,1.0
4,115,De Cuyper,DEF,Brighton,4.8,2.944128572002771,100.0,11.0
4,367,Gakpo,MID,Liverpool,7.2,3.0162899764940443,100.0,1.0
4,69,Scott,MID,Bournemouth,6.0,2.769800358919501,100.0,4.0
4,98,Janelt,MID,Brentford,5.0,2.721221559637865,100.0,4.0
4,15,Ødegaard,MID,Arsenal,6.6,2.699818508108637,100.0,3.0
4,335,Stach,MID,Leeds,6.0,2.5893768706937084,100.0,3.0
4,379,Isak,FWD,Liverpool,9.1,2.5730019447548305,100.0,2.0
4,165,João Pedro,FWD,Chelsea,7.7,2.555755529305614,100.0,12.0
4,411,Haaland,FWD,Man City,15.5,2.258064516129032,100.0,9.0
