gw,id,web_name,element_type,team,now_cost,score,points_scored
1,4,Gabriel,2,1,8.0,1.866255578408624,
1,5,J.Timber,2,1,6.5,1.7099759466766968,
1,106,Thiago,4,4,8.0,1.6868653306034984,
1,165,João Pedro,4,6,7.5,1.7213006207263157,
1,199,Benitez,1,8,4.5,1.912931182772389,
1,201,Muñoz,2,8,5.5,1.6750686836022342,
1,236,Dewsbury-Hall,3,9,6.5,1.6984992522418105,
1,260,Wilson,3,13,6.5,1.6750686836022342,
1,335,Stach,3,13,6.0,1.6750686836022342,
1,346,Calvert-Lewin,4,13,6.0,1.6005206638831553,
1,388,Guéhi,2,15,6.0,1.7213006207263157,
1,426,B.Fernandes,3,16,12.0,1.885203631020986,
1,452,Bruno G.,3,17,7.0,1.7435134012651283,
1,531,Ellborg,1,20,4.5,1.7435134012651283,
1,533,Mukiele,2,20,5.5,1.6750686836022342,
