gw,id,web_name,element_type,team,now_cost,score,chance_of_playing_next_round,points_scored
1,199,Benitez,GKP,Crystal Palace,4.5,1.912931182772389,100.0,0.0
1,531,Ellborg,GKP,Sunderland,4.5,1.7435134012651283,100.0,0.0
1,4,Gabriel,DEF,Arsenal,8.0,1.866255578408624,100.0,5.0
1,388,Guéhi,DEF,Man City,6.0,1.7213006207263155,100.0,10.0
1,201,Muñoz,DEF,Crystal Palace,5.5,1.6750686836022342,100.0,0.0
1,498,Senesi,DEF,Spurs,6.0,1.6750686836022342,100.0,3.0
1,229,Tarkowski,DEF,Everton,6.0,1.6631034988407656,100.0,6.0
1,426,B.Fernandes,MID,Man Utd,12.0,1.885203631020986,100.0,2.0
1,452,Bruno G.,MID,Arsenal,7.0,1.7435134012651283,100.0,0.0
1,236,Dewsbury-Hall,MID,Everton,6.5,1.6984992522418103,100.0,11.0
1,260,Wilson,MID,Leeds,6.5,1.6750686836022342,100.0,3.0
1,335,Stach,MID,Leeds,6.0,1.6750686836022342,100.0,13.0
1,165,João Pedro,FWD,Chelsea,7.5,1.7213006207263155,100.0,11.0
1,106,Thiago,FWD,Brentford,8.0,1.6868653306034984,100.0,0.0
1,346,Calvert-Lewin,FWD,Leeds,6.0,1.6005206638831553,100.0,1.0
